idRestaurant,name,borough,inspectionDate,grade
40398410,WEISS CAFE ROCKEFELLER UNIVERSITY,MANHATTAN,2014-04-30,A
50005723,CARA MIA,MANHATTAN,2014-12-23,
41430526,CARVEL ICE CREAM,QUEENS,2016-09-19,Z
50012006,GRAND SICHUAN,MANHATTAN,2016-06-29,C
50033308,OMIYA SUSHI,BROOKLYN,2015-09-09,
41101595,ANGELO'S PIZZA,MANHATTAN,2013-07-02,B
41435037,SALIMAR,BRONX,2016-04-15,
50002586,D' LICUA FRUIT & JUICE,BRONX,2014-02-20,
50001262,BRYANT PARK GRILL,MANHATTAN,2014-09-16,
41712453,MERRYLAND BUFFET,BRONX,2013-11-19,A
41452898,TIAA-CREF CAFETERIA,MANHATTAN,2015-02-05,
41148534,TACU TACU RESTUARANT,BROOKLYN,2015-10-08,
41389468,MELANIE'S ROTI & GRILL RESTAURANT,BRONX,2014-07-21,P
40386554,TINA'S RESTAURANT,BROOKLYN,2014-07-15,A
50037168,MISTER PIZZA,BRONX,2016-05-25,
40834812,DANTE'S GOURMET FOOD,MANHATTAN,2014-03-03,A
50005236,"PIZZA HUT, KFC, TACO BELL",BROOKLYN,2014-03-20,
50055459,,BROOKLYN,1900-01-01,
41464143,VYBES KITCHEN,BRONX,2014-07-12,B
41637575,VERA CRUZ,BROOKLYN,2015-03-04,
41338586,MEZA PASTA & DELI,BROOKLYN,2015-07-23,
41719914,BEIJING CHINESE RESTAURANT,MANHATTAN,2013-03-26,
41556136,DANNY'S ATHENS RESTAURANT,BRONX,2015-03-25,A
41291187,KENNEDY FRIED CHICKEN,QUEENS,2015-05-28,A
50000418,MILK & PULL CAFE,BROOKLYN,2013-10-24,
50046242,POLLO A LA BRASCIA RESTAURANT,BROOKLYN,2016-03-10,
40553257,ACAPULCO DELI & RESTAURANT,BROOKLYN,2013-10-02,
41445602,FLOR DE MAYO,MANHATTAN,2016-07-06,
41699711,KOREAN NOODLE HOUSE,QUEENS,2016-05-02,A
50010490,WENDY'S,MANHATTAN,2015-01-12,A
41691159,GRAND CAFE,BRONX,2014-07-10,A
40392388,TAL BAGEL,MANHATTAN,2013-04-11,
50011515,SZE'S GARDEN,QUEENS,2015-04-23,B
50001076,MILK & HONEY CAFE,BROOKLYN,2016-02-03,
50006080,KING WOK,QUEENS,2014-11-13,
40548730,RAY'S PIZZA RESTUARANT,BRONX,2013-07-19,
41683337,AVLEE  GREEK KITCHEN,BROOKLYN,2014-05-21,
41347049,MACONDO,MANHATTAN,2014-07-10,
41690257,CHINA STAR BUFFET,BROOKLYN,2016-10-12,
41626198,UNITED FRIED CHICKEN,MANHATTAN,2015-04-29,
41651801,THE LIBERTY,MANHATTAN,2015-02-12,
41572569,THE MEATBALL SHOP,MANHATTAN,2015-06-11,
41597054,SUSHI YASAKA,MANHATTAN,2013-11-27,
41271454,KATSUHAMA 47,MANHATTAN,2014-05-17,B
41291414,DUNKIN' DONUTS,BROOKLYN,2015-06-15,A
41672792,DUNKIN' DONUTS,STATEN ISLAND,2016-07-07,
41163307,TAQUERIA SAN PEDRO,MANHATTAN,2015-08-11,
41402060,REGAL UNION SQUARE STADIUM 14,MANHATTAN,2015-01-15,A
41631374,LIBERTY BAR,QUEENS,2013-04-19,A
50014122,Nocciola Ristorante,MANHATTAN,2014-10-09,A
41008329,NATIONAL BAKERY,BRONX,2016-01-19,A
41450361,FREDA'S,MANHATTAN,2016-02-08,A
41655200,CHIKURIN JAPANESE RESTAURANT,BROOKLYN,2015-01-13,B
41714411,DELI EL BIGOTES,BROOKLYN,2013-10-17,
50016841,ALTAGRACIA RESTAURANT,BRONX,2016-08-04,A
50011285,KOYLA,QUEENS,2016-02-04,
50004695,PALACE RESTAURANT,QUEENS,2015-05-06,A
50016696,NEW JADE SEA,QUEENS,2015-12-29,B
41633479,EXPRESS SOFT TACO ONE,QUEENS,2014-07-23,A
41066646,CARVEL ICE CREAM,BROOKLYN,2013-05-13,
41618303,GIACOMO'S WOOD FIRED PIZZA,BROOKLYN,2015-03-11,A
41259444,COCO ROCO RESTAURANT,BROOKLYN,2015-12-10,
50007953,La Compagnie des Vins Supernaturels,MANHATTAN,2014-10-01,A
41717466,SHUN FENG RESTAURANT,BROOKLYN,2016-04-06,
41194868,VICTORY KITCHEN,QUEENS,2014-01-30,
41060064,EN JAPANESE BRASSERIE,MANHATTAN,2014-05-13,
40810032,AL-MEHRAN RESTAURANT,QUEENS,2013-05-31,A
41624784,LA DEFENSE,BROOKLYN,2014-11-17,
50047801,SUNFLOWER CAFE,MANHATTAN,2016-05-26,
41705732,BENTON CAFE,MANHATTAN,2014-02-04,A
40704305,LA DOLCE ITALIA BAKERY,QUEENS,2016-01-13,A
41442317,CROWN FRIED CHICKEN,BROOKLYN,2016-09-27,A
40746162,CIROS PASTRY SHOP,QUEENS,2014-06-10,A
50038906,LE PAIN QUOTIDIEN,MANHATTAN,2015-11-10,
41360464,SNACK BAR,QUEENS,2013-08-20,
41655550,ETHOS GALLERY,MANHATTAN,2014-01-02,
50047547,CHINA GARDEN,BROOKLYN,2016-05-24,A
40732416,VARENICHNAYA - PELMINI VARENICHKY,BROOKLYN,2015-10-07,A
41630686,LEANLY CHINESE FOOD,BROOKLYN,2016-06-30,
40867120,GINA'S PIZZA,QUEENS,2016-08-24,Z
41548700,WEATHER UP,MANHATTAN,2016-09-06,
50006582,E'S BAR,MANHATTAN,2014-09-24,
50014661,FINGER LICK'N,BROOKLYN,2015-08-05,A
40362715,THE COUNTRY CAFE,MANHATTAN,2015-07-15,
40759928,NINO'S PIZZA,BROOKLYN,2014-09-02,
50038638,BREUKELEN BRASSERIE,BROOKLYN,2015-08-19,A
50042343,ANGELA'S,BROOKLYN,2016-01-21,A
40365454,JOE & PAT'S PIZZERIA,STATEN ISLAND,2016-02-09,
41163361,ANGIE'S CAFE PIZZA,BRONX,2015-06-27,A
50016993,PUNTA CANA COFFEE SHOP,BROOKLYN,2015-07-29,A
40934037,JIKJI CAFE,QUEENS,2014-04-03,
41607908,LONGEVOUSJOY,BROOKLYN,2014-04-08,
41720477,AROY DEE THAI KITCHEN,MANHATTAN,2016-03-31,B
40979519,MR. WEDGE,BRONX,2014-10-02,
40546350,SWEET CHEF SOUTHERN STYLES BAKERY,MANHATTAN,2016-09-28,
41703625,QI,BROOKLYN,2014-04-09,
41174407,CAFE 71,MANHATTAN,2013-07-03,A
40884708,WAH HING KITCHEN,QUEENS,2016-01-06,
41577662,LEON KITCHEN,BROOKLYN,2014-06-27,B
41037118,PARAMOUNT BAR & GRILL,MANHATTAN,2014-03-07,A
41315411,E SAVOY,BROOKLYN,2015-11-04,
50000855,CROWN FRIED CHICKEN & PIZZA,BROOKLYN,2016-07-22,C
41194745,GOLDEN PALACE GOURMET,QUEENS,2015-02-05,
50003409,RECONNECT CAFE,BROOKLYN,2013-11-04,
50036930,REINA DE LA NUBE RESTAURANT,BROOKLYN,2015-08-24,
50037950,CHINA EXPRESS INN,QUEENS,2015-08-27,A
50000548,NEW GOOD TASTE CHINESE RESTAURANT,BRONX,2013-07-03,
50036340,HARDEE LEE,BROOKLYN,2015-08-03,
41463147,MASAKE,BROOKLYN,2015-05-19,B
40369017,PALM TOO,MANHATTAN,2016-05-19,
50055512,BROOKLYN ROASTING COMPANY,BROOKLYN,1900-01-01,
41184697,CHORUS MUSIC STUDIO/ CHORUS KARAOKE LOUNGE BAR,MANHATTAN,2016-04-20,
41484282,THE PURPLE ROSE BAR,BROOKLYN,2015-08-29,A
50012006,GRAND SICHUAN,MANHATTAN,2015-01-29,
50010568,CHUANG CHEF,QUEENS,2016-05-02,A
50044215,SONG'S FAMILY FOOD,QUEENS,2016-01-08,
41442614,MCDONALD'S,QUEENS,2015-08-18,
50014089,HANG OUT 58,BROOKLYN,2016-02-01,B
50008876,SIMON'S,BRONX,2015-10-21,A
